Nazwa,ECTS,Tryb,Kryteria
"""Historia zaczyna się w Sumerze"" - Mezopotamia kolebką cywilizacji",4.0,w sali,Kryteria - zajęcia są wykładem – rozliczenie ich następuje poprzez sprawdzenie obecności oraz podsumowujące sprawdzenie nabytej wiedzy w formie krótkiego testu.
Miasta i ich mieszkańcy w późnośredniowiecznym Królestwie Polskim,2.0,w sali,Warunkiem zaliczenia wykładu jest regularne w nim uczestniczenie (nie więcej niż 4 nieobecności); kryterium oceny  jest sprawdzian pisemny (w formie testu) wiedzy zdobytej podczas wykładu.
"Władcy, dyplomaci, szpiedzy – z dziejów stosunków międzynarodowych w czasach Hammurabiego",4.0,w sali,"- warunkiem niezbędnym zaliczenia zajęć jest frekwencja (maksimum 3 nieobecności)
- podstawą wystawienia oceny jest aktywność na zajęciach, samodzielne zgłaszanie się do wypowiedzi
-  w razie zagrożenia niezaliczeniem konwersatorium student będzie miał prawo do ustnego lub pisemnego trybu zaliczenia całości materiału w trakcie sesji"
Kurs na Równość – przeciwdziałanie dyskryminacji na UW,2.0,zdalnie,"Zaliczenie całości interaktywnego kursu równa się ocenie bardzo dobrej.
Niższe oceny stanowią procentowy wymiar ukończenia kursu. Najniższa pozytywna ocena to 60% kursu."
Krótki multimedialny kurs literatury polskiej XIX wieku dla niehumanistów i obcokrajowców,3.0,zdalnie,"Ocena końcowa stanowić będzie średnią z sumy punktów zdobytych za poszczególne aktywności w poszczególnych modułach (max. 100 punktów) oraz z punktów uzyskanych za zaliczenie końcowe w sali, w stosunku 7:3 (70% za zajęcia online i 30% za zaliczenie w sali).
Przeliczanie punktacji na ocenę końcową:
• 0 pkt. – 50 pkt. – nzal
• 51 pkt. – 59 – dostateczny
• 60 pkt. – 69 pkt. – dostateczny +
• 70 pkt. – 79 pkt. – dobry
• 80 pkt. – 89 pkt. – dobry +
• 90 pkt. – 99 pkt. – bardzo dobry
• 100 pkt. – bardzo dobry!"
Multimedialny kurs historii literatury i kultury polskiej XX wieku dla studentów obcokrajowców (i nie tylko),3.0,zdalnie,"Zasady oceniania:
Punktacja za poszczególne aktywności:
- quiz do wykładu max.: 6 punktów każdy (nie wlicza się do oceny końcowej)
- quiz do lektury podręcznika max.: 6 punktów każdy (nie wlicza się do oceny końcowej)
- test do prologu i epilogu: max. 15 punktów każdy (wlicza się do oceny końcowej)
- test do modułu: max. 15 punktów każdy (wlicza się do oceny końcowej)
- krótka odpowiedz pisemna na pytanie dotyczące treści omawianych w konkretnym module: max. 7 punktów każda (wlicza się do oceny końcowej)
- zaliczenie końcowe w trakcie sesji egzaminacyjnej (studenci UW: w sali; studenci Sojuszu 4EU+: online): test max. 100 punktów (wlicza się do oceny końcowej).
Ocena końcowa stanowić będzie sumę punktów zdobytych za poszczególne testy do modułów, prologu, epilogu i odpowiedzi pisemne na pytania opisowe (łącznie maksymalnie 250 punktów w ramach części online) oraz z punktów uzyskanych za zaliczenie końcowe w sali (maksymalnie 100 punktów).
Przeliczanie punktacji na ocenę końcową:
- 0 pkt. – 175 pkt. – nzal
- 176 pkt. – 209 – dostateczny
- 210 pkt. – 244 pkt. – dostateczny +
- 245 pkt. – 279 pkt. – dobry
- 280 pkt. – 314 pkt. – dobry +
- 315 pkt. – 345 pkt. – bardzo dobry
- 345 pkt. – 350 pkt. – bardzo dobry!"
Oglądać i czytać. Wybrane zagadnienia związków tekstu i obrazu,3.0,zdalnie,"• ocena bieżącej aktywności studenta – realizowanych przez niego praktycznych ćwiczeń i zadań kursowych
• testy wyboru sprawdzające przyswojenie zagadnień teoretycznych
• końcowe, konwencjonalne (w realu) kolokwium z zakresu problemowego kursu"
Przekaz digitalny,3.0,zdalnie,"•	ocena bieżącej aktywności studenta – realizowanych przez niego praktycznych ćwiczeń i zadań kursowych
•	2 testy wyboru sprawdzające przyswojenie zagadnień teoretycznych
•	końcowe, konwencjonalne (w realu lub w formie wideokonferencji) kolokwium z zakresu problemowego kursu"
Kulturowa historia Bałkanów,5.0,w sali,"Przedmiot kończy się egzaminem ustnym; warunkiem dopuszczenia do egzaminu ustnego jest zaliczenie testu semestralnego po pierwszym semestrze oraz egzaminu pisemnego po drugim semestrze. Test zamknięty sprawdza wiedzę faktograficzną. Egzamin ustny sprawdza wiedzę, a przede wszystkim umiejętność interpretacji danych historycznych, znajomość głównych procesów społecznych oraz formowania się współczesnych kultur obszaru bałkańskiego."
Między muzeum a ruiną. Jak działa dziedzictwo na Bałkanach?,3.0,w sali,"Ocenie podlegają:
- systematyczna praca podczas zajęć (znajomość treści tekstów zaproponowanych przez prowadzącą oraz aktywny udział w dyskusji w trakcie zajęć);
- przedstawienie w trakcie zajęć samodzielnie przygotowanej prezentacji na temat wybrany przez studenta/studentkę, który zostanie skonsultowany  z prowadzącą.
Student/studentka ma prawo do dwóch nieusprawiedliwionych nieobecności w semestrze, każda kolejna nieobecność musi być zaliczona w sposób wcześniej uzgodniony z prowadzącą. Nieobecność ogółem na więcej niż 50% zajęć wyklucza uzyskanie zaliczenia.
Szacowany rozkład pracy studenta:
- uczestnictwo w zajęciach: 30 h – 1 ECTS;
- regularne przygotowanie do zajęć: 30 h – 1 ECTS;
- przygotowanie autorskiej prezentacji (wybór tematu, selekcja źródeł, krytyczna ocena zgromadzonych informacji, opracowanie wyników analizy): 30 h – 1 ECTS
Łącznie: 3 ECTS
Zasady wykorzystania na zajęciach sztucznej inteligencji:
Sposób wykorzystania narzędzi sztucznej inteligencji w pracach pisemnych i prezentacjach zaliczeniowych określają zapisy § 3 i 4 uchwały nr 98 Uniwersyteckiej Rady ds. Kształcenia z dnia 8 grudnia 2023 roku. 
W związku z tym, że jedną z podstawowych umiejętności zdobywanych na kierunkach studiów organizowanych na Wydziale Polonistyki jest sprawne i profesjonalne posługiwanie się polszczyzną pisaną, a w szczególności stylem naukowym, zabrania się wykorzystywania systemów sztucznej inteligencji do przygotowania, korekty i redakcji tekstów. 
Jeśli student/studentka chce wykorzystać narzędzia sztucznej inteligencji podczas przygotowywania prezentacji, musi poinformować prowadzącą o sposobie i zakresie ich wykorzystania, uzasadnić celowość tego działania oraz uzyskać na nie zgodę."
Relacje międzykulturowe na Bałkanach,4.0,w sali,"Kluczowe jest przygotowanie do zajęć (lektura wskazanych tekstów / oglądanie emisji / zebranie materiałów) oraz aktywne uczestnictwo w zajęciach.
Podstawą oceny jest egzamin końcowy ustny; pytania egzaminacyjne udostępnione są z wyprzedzeniem.
Rozkład pracy studenta:
uczestniczenie w zajęciach: 30 h – 1 ECTS
praca własna studenta: 80 h – 3 ECTS
łącznie: 4 ECTS"
Relacje międzykulturowe w regionie: Czechy i Słowacja,3.0,w sali,"Egzamin ustny.
Z uwagi na konwersatoryjny charakter przedmiotu na ocenę końcową z przedmiotu będzie się składała ocena z egzaminu (70%) oraz ocena z bieżącego przygotowania do zajęć, obejmującego lekturę wskazanych tekstów oraz aktywny udział w dyskusji podczas zajęć.
Student ma prawo do 2 nieusprawiedliwionych nieobecności w semestrze, każda kolejna nieobecność musi być zaliczona w sposób wcześniej uzgodniony z prowadzącym. Nieobecność ogółem na więcej niż 50 % zajęć wyklucza uzyskanie zaliczenia. Nieobecność nie zwalnia z obowiązku nadrobienia znajomości materiału.
Sposób wykorzystania narzędzi sztucznej inteligencji w pracach pisemnych i prezentacjach zaliczeniowych określają zapisy § 3 i 4 uchwały nr 98 Uniwersyteckiej Rady ds. Kształcenia z dnia 8 grudnia 2023 roku. W związku z tym, że jedną z podstawowych umiejętności zdobywanych na kierunkach studiów organizowanych na Wydziale Polonistyki jest sprawne i profesjonalne posługiwanie się polszczyzną pisaną, a w szczególności stylem naukowym, zabrania się wykorzystywania systemów sztucznej inteligencji do przygotowania, korekty i redakcji tekstów. Podobne zastrzeżenie dotyczy również innych języków słowiańskich, które są nauczane w Instytucie Slawistyki Zachodniej i Południowej. Studenci mogą posługiwać się narzędziami SI tylko w sytuacjach, w których prowadzący dopuszcza ich użycie i wyłącznie w konkretnie wskazanym przez prowadzącego zakresie.
Rozkład pracy studenta:
uczestniczenie w zajęciach: 30 h – 1 ECTS
praca własna studenta związana z bieżącym przygotowaniem do zajęć: 60 h – 2 ECTS
przygotowanie się do egzaminu: 30 h - 1ECTS 
Łącznie: 4 ECTS"
Język staro-cerkiewno-słowiański (1),4.0,w sali,"Aktywność na zajęciach - 30%
Końcowa praca pisemna - 70%
Nieusprawiedliwione nieobecności (powyżej 2) winny zostać zaliczone w terminie uzgodnionym z prowadzącym zajęcia.
Sposób wykorzystania narzędzi sztucznej inteligencji w pracach pisemnych i prezentacjach zaliczeniowych określają zapisy § 3 i 4 uchwały nr 98 Uniwersyteckiej Rady ds. Kształcenia z dnia 8 grudnia 2023 roku. W związku z tym, że jedną z podstawowych umiejętności zdobywanych na kierunkach studiów organizowanych na Wydziale Polonistyki jest sprawne i profesjonalne posługiwanie się polszczyzną pisaną, a w szczególności stylem naukowym, zabrania się wykorzystywania systemów sztucznej inteligencji do przygotowywania, korekty i redakcji tekstów.
Punkty ECTS - łącznie 4, w tym:
 1 p. ECTS z tytułu uczestnictwa w zajęciach (30 godzin);
 3 p. ECTS z tytułu przygotowywania się do zajęć poza salą lekcyjną oraz wykonywania prac domowych (80 godzin)"
Sztuka w kulturze Serbii,5.0,w sali,"Ocena końcowa wystawiana jest na podstawie 
a)	oceny aktywnego uczestnictwa w dyskusji, dowodzącego umiejętności zastosowania podstawowych narzędzi służących do analizy zjawisk artystycznych oraz znajomości literatury przedmiotu – 2,5 ECTS; 
b)	oceny bieżącego przygotowanie do zajęć (lektura wskazanych tekstów, realizacja zadań domowych związanych z analizą wybranych dzieł artystycznych) – 1,5 ECTS;
c)	zaliczenia testu końcowego na podstawie wiedzy pozyskanej na zajęciach oraz opracowanego samodzielnie przez studenta/tkę materiału źródłowego – 1 ECTS.
 Osoba studiująca ma prawo do dwóch usprawiedliwionych lub nieusprawiedliwionych nieobecności w każdym
semestrze. Nieobecności należy usprawiedliwiać u osoby prowadzącej. Osoba mająca powyżej dwóch nieobecności w semestrze musi
nadrobić je w sposób określony przez osobę prowadzącą. Jedynie osoby z przyznaną Indywidualną Organizacją Studiów na podstawie opinii BON mogą mieć zwiększony limit nieobecności, jednak nie więcej niż do 50% w każdym semestrze.
 Sposób wykorzystania narzędzi sztucznej inteligencji w pracach pisemnych i prezentacjach zaliczeniowych określają zapisy § 3 i 4
uchwały nr 98 Uniwersyteckiej Rady ds. Kształcenia z dnia 8 grudnia 2023 roku. W związku z tym, że jedną z podstawowych umiejętności
zdobywanych na kierunkach studiów organizowanych na Wydziale Polonistyki jest sprawne i profesjonalne posługiwanie się polszczyzną
pisaną, a w szczególności stylem naukowym, zabrania się wykorzystywania systemów sztucznej inteligencji do przygotowania, korekty i
redakcji tekstów. Analogiczne zastrzeżenie dotyczy języków słowiańskich, których osoby uczestniczące w zajęciach uczą się w Instytucie
Slawistyki Zachodniej i Południowej."
Ad fontes - kurs łaciny dla średnio zaawansowanych,4.0,w sali,"-ciągła ocena bieżącego przygotowania do zajęć
-końcowy test zaliczeniowy 
Dopuszczalne są 2 nieusprawiedliwione nieobecności w semestrze."
Elementy kultury renesansu,2.0,w sali,Zaliczenie ustne 100%
Literatura nowołacińska okresu renesansu,2.0,w sali,Egzamin końcowy
Rudimenta Latinitatis - kurs łaciny dla początkujących,4.0,w sali,"-bieżące przygotowanie do zajęć i aktywność (35%)
-śródsemestralne testy kontrolne z zakresu fleksji (30%)
-pisemne zaliczenie końcowe sprawdzające umiejętność poprawnego przekładu tekstu ciągłego o podstawowym stopniu trudności (35%).
Dozwolone są 2 nieusprawiedliwione nieobecności w semestrze."
Mitologiczne źródła fantastyki XX i XXI wieku,3.0,w sali,"Podstawę zaliczenia (stopnie: 3 - 4,5) stanowią frekwencja i aktywność na zajęciach.
1. Frekwencja (dopuszczalne dwie nieobecności w semestrze);
2. Aktywność podczas zajęć (ocenie podlegają: treść wypowiedzi, umiejętność pracy w grupie, umiejętność pracy indywidualnej, etyczność prowadzenia dialogu, umiejętność przekazywania informacji - również zwrotnych);
Aby uzyskać ocenę bardzo dobrą (5) lub celującą (5!), uczestniczki i uczestnicy powinny/i przygotować pracę pisemną w jednej z dwóch form do wyboru:
1. Szkic poświęcony wybranym zagadnieniom z zajęć;
2. Recenzję współczesnego dzieła: powieści fantastycznej ew. powieści grozy, zbioru opowiadań w omawianej stylistyce, filmu, spektaklu, gry - po konsultacji z prowadzącym."
Antropologia wina,4.0,w sali,"Aktywność na zajęciach, przygotowanie 7-stronicowego referatu na podstawie przeczytanych lektur."
Wprowadzenie do antropologii symbolicznej (kurs internetowy),3.0,zdalnie,"Po każdym temacie - test lub punktowana dyskusja, dodatkowe punkty za aktywność. Zaliczenie pisemne (test) w sali na koniec kursu."
Organizacja muzyki w perspektywie interdyscyplinarnej,3.0,w sali,"Praca pisemna; aktywność na zajęciach.
Dopuszczalne są nieobecności bez względu na powód. Nadliczbowe nieobecności (maksymalnie 5) do zaliczenia w sposób wskazany przez prowadzącego zajęcia"
Tłumacz w komunikacji międzykulturowej,2.0,w sali,"- obecność (po przekroczeniu dwóch nieobecności, każda następna skutkuje obniżeniem oceny końcowej o pół stopnia),
- aktywność podczas zajęć (udział w rozmowach/dyskusjach)
- opcjonalnie: przygotowanie referatu (ma wpływ na podwyższenie oceny końcowej)"
Korpusy tekstowe w uczeniu się języków przez całe życie,3.0,zdalnie,"Ocena pracy semestralnej portfolio elektronicznego, w którym student zademonstruje wiedzę i umiejętności.
Portfolio składa się z :
-  glosariusza terminów specjalistycznych z wybranej dziedziny
podania przykładów specjalistycznego użycia języka z wybranej dziedziny  (20% oceny końcowej)
-  refleksji nad własnymi strategiami uczenia się języków z wykorzystaniem korpusów (500-800 słów). (40% oceny końcowej)
- wyniki odpowiedzi na pytania zadane w każdym module (40% oceny końcowej) . 
Kryteria oceniania
100% -93%  -  5
92% - 85%  - 4,5
84% - 77%  -  4
76% - 69%   - 3,5
68% - 61%  - 3"
Analiza dyskursu multimodalnego,3.0,w salizdalnie,"udział w zajęciach, aktywność (40% oceny)
przykłady umieszczane na dysku dzielonym (20%)
dwie prace pisemne (40% oceny)
Zajęcia są obowiązkowe. Dopuszczalne są dwie nieobecności nieusprawiedliwione. Jeśli student ma więcej niż dwie nieobecności nieusprawiedliwione, powinien zwrócić się do wykładowcy z prośbą o wyznaczenie formy zaliczenia materiału z zajęć, na których był nieobecny, i zaliczyć ten materiał przed zakończeniem semestru. Jeśli nieobecności jest więcej niż 50%, stanowi to podstawę do niezaliczenia przedmiotu.
Ocena końcowa:
99%-100 - 5!
98% - 93% - 5
92% - 85% - 4,5
84% - 77% - 4
76% - 69% - 3,5
68% - 60% - 3
poniżej 60% - 2"
Analiza konwersacji,2.0,w sali,"Warunki zaliczenia:
Warunkiem wstępnym uzyskania zaliczenia jest obecność na zajęciach. Dopuszczalne są dwie nieusprawiedliwione nieobecności w semestrze.
Zaliczenie na podstawie sprawdzianu pisemnego  zawierającego pytania otwarte.
Zaliczenie poprawkowe na takich samych warunkach jak zaliczenie w pierwszym terminie.
SKALA OCEN:
100% – 91%  bdb
90% – 81%    db +
80% – 71%    db
70% – 61%    dst +
60% – 50%    dst"
Język i stosunki międzynarodowe,3.0,mieszany: w sali i zdalnie,"Frekwencja na zajęciach
(dozwolone dwie nieobecności w semestrze)
Kryteria oceny końcowej (I termin):
1. pisemna praca domowa: 20% oceny końcowej (krótkie rozwinięcie wybranego zagadnienia omawianego na zajęciach, studium przypadku itp.); oddana w terminie
2. pisemny test w połowie semestru: 20% oceny końcowej (pytania otwarte i zamknięte w oparciu o dotychczasowy materiał)
3. pisemny test końcowy: 50% oceny końcowej (pytania otwarte i zamknięte; kluczowe zagadnienia  z całego semestru)
4. ocena aktywności na zajęciach: 10% oceny końcowej
5. (opcjonalnie, koniec semestru) ustna prezentacja w trakcie zajęć wyników własnego badania lub projektu: możliwość podniesienia oceny końcowej
Kryteria oceny końcowej (II termin):
Poszerzony test z całości kursu (pytania otwarte i zamknięte)"
Metodologia badań językoznawczych,3.0,w sali,"Metody dydaktyczne podające: opis, wykład problemowy/konwersatoryjny, 
Metody dydaktyczne poszukujące: problemowa: rozwiązywanie problemów, zadania, pytania i odpowiedzi, analiza przypadku;
Metody dydaktyczne eksponujące: przygotowanie prezentacji/referatu; 
Metody pracy: praca indywidualna, konsultacje indywidualne, dyskusje.
Metody i kryteria oceniania pracy studenta:
● ocena ciągła (bieżące przygotowanie do zajęć)
● egzamin pisemny
Skala ocen:
55-69% - 3
70-74% - 3+
75-84% - 4
85-89% - 4+
90-100% - 5
UWAGA:
W przypadku braku możliwości prowadzenia zajęć w formie stacjonarnej zajęcia będą odbywać się przy użyciu narzędzi komunikacji na odległość, najprawdopodobniej Google Meet oraz innych zalecanych przez UW."
Autodéfense intellectuelle-Jak się nauczyć myślenia krytycznego,3.0,w sali,"Dozwolone są dwie (2) nieobecności w semestrze w przypadku zajęć 30 godzinnych.
- Aktywne uczestnictwo w zajęciach,
- test wyboru na koniec semestru."
50 couleurs du français,2.0,w sali,"- Aktywne uczestnictwo w zajęciach,
- test wyboru na koniec semestru."
Tłumacz a komunikacja międzykulturowa,2.0,w sali,"Warunki zaliczenia: 
1. obecność na zajęciach
2. czytanie lektur
3. uczestnictwo w dyskusjach
4. pozytywny wynik egzaminu pisemnego (testu wiedzy uzyskanej z lektur)
Oceny:
100−95% - 5!
94,5−90% - 5
89,5−85% - 4,5
84,5−80% - 4
79,5−75% - 3,5
74,5−65% - 3
64,5−0% - nzal"
Wprowadzenie do eTwinning - przygotowanie nauczycieli do międzynarodowej współpracy uczniów szkoły podstawowej,3.0,zdalnie,"Składowe oceny:  
Wykonane zadania  50%
Przygotowanie i prezentacja projektu 30%
Praca pisemna końcowa  20%
Kryteria oceniania 
100%-93,3% 5
93%- 86,6%  4,5
86%-76,6% 4
76%-70%  3,5
69%-60%  3
poniżej 59%  2"
Aktualne problemy języka białoruskiego - gramatyka,3.0,w sali,"Warunki dopuszczenia do zaliczenia końcowego:
- dopuszczalne są 2 nieobecności na zajęciach,
- systematyczne przygotowanie na zajęcia zadanego materiału,
- terminowe wykonywanie prac domowych i testów kontrolnych,
- aktywny udział w zajęciach.
Zaliczenie końcowe ma formę pisemną i składa się z testu gramatycznego.
Procentowa skala ocen za zaliczeniową pracę pisemną:
Poniżej 51% – 2,0 (ocena niedostateczna)
51% – 60% – 3,0 (ocena dostateczna)
61% – 70 % – 3,5 (ocena dostateczna plus)
71% – 80% – 4,0 (ocena dobra)
81% – 90% – 4,5 (ocena dobra plus)
91% – 98% – 5,0 (ocena bardzo dobra)
99% – 100% – 5! (ocena celująca)
Ocenę końcową stanowi: 50% oceny z zajęć + 50% oceny z testu zaliczeniowego."
Język białoruski w przestrzeni medialnej,3.0,w sali,"Warunki dopuszczenia do zaliczenia końcowego:
- dopuszczalne są 2 nieobecności na zajęciach,
- systematyczne przygotowanie na zajęcia zadanego materiału,
- terminowe wykonywanie prac domowych i testów kontrolnych,
- aktywny udział w zajęciach.
Zaliczenie końcowe ma formę pisemną i składa się z testu gramatycznego.
Procentowa skala ocen za zaliczeniową pracę pisemną:
Poniżej 51% – 2,0 (ocena niedostateczna)
51% – 60% – 3,0 (ocena dostateczna)
61% – 70 % – 3,5 (ocena dostateczna plus)
71% – 80% – 4,0 (ocena dobra)
81% – 90% – 4,5 (ocena dobra plus)
91% – 98% – 5,0 (ocena bardzo dobra)
99% – 100% – 5! (ocena celująca)
Ocenę końcową stanowi: 50% oceny z zajęć + 50% oceny z testu zaliczeniowego."
Współczesny język białoruski w mediach internetowych,3.0,w sali,"Warunki dopuszczenia do zaliczenia końcowego:
- dopuszczalne są 2 nieobecności na zajęciach,
- systematyczne przygotowanie na zajęcia zadanego materiału,
- terminowe wykonywanie prac domowych i testów kontrolnych,
- aktywny udział w zajęciach.
Zaliczenie końcowe ma formę pisemną i składa się z testu gramatycznego.
Procentowa skala ocen za zaliczeniową pracę pisemną:
Poniżej 51% – 2,0 (ocena niedostateczna)
51% – 60% – 3,0 (ocena dostateczna)
61% – 70 % – 3,5 (ocena dostateczna plus)
71% – 80% – 4,0 (ocena dobra)
81% – 90% – 4,5 (ocena dobra plus)
91% – 98% – 5,0 (ocena bardzo dobra)
99% – 100% – 5! (ocena celująca)
Ocenę końcową stanowi: 50% oceny z zajęć + 50% oceny z testu zaliczeniowego."
Wykład monograficzny - historyczna leksykologia języka białoruskiego,2.0,w sali,"Warunkiem dopuszczenia do egzaminu jest zaliczenie
Egzamin ustny"
Historia literatury białoruskiej XX wieku (lata 30.-60.),6.0,mieszany: w sali i zdalnie,"Przy ocenie końcowej pod uwagę brana będzie aktywność studenta na zajęciach oraz odpowiedź ustna, udzielona na końcu semestru, dotycząca trzech wylosowanych przez studenta pytań, z zakresu całego omówionego podczas zajęć materiału. O ile w przypadku oceny aktywności uwaga będzie skupiona głównie na wnikliwości przeprowadzanej analizy wybranego utworu, o tyle podczas odpowiedzi ustnej – na rozumieniu procesów literaturotwórczych i znajomości omawianych kontekstów literatury.
Forma egzaminu: ustny
W czasie egzaminu zadawane są pytania obejmujące zagadnienia prezentowane w trakcie wykładu i ćwiczeń.
I. Liczba pytań: 3.
II. Punktacja pytań: od 3 do 0.
III. Przelicznik punktów na oceny:
4,5-5 pkt. – dst (3,0)
5,5-6 pkt. – dst+ (3,5)
6,5-7 pkt. – db (4,0)
7,5-8 pkt. – db+ (4,5)
8,5-9 pkt. – bdb (5,0)
9+ pkt. – bdb! (5!)
Pkt. 3
Student: charakteryzuje epokę, okres lub kierunek literacki z wykorzystaniem różnych wyznaczników (filozoficznego, światopoglądowego, poetologicznego itp.), przywołuje nazwiska przedstawicieli (również drugoplanowych) wykazuje szczegółową znajomość treści lektur, przeprowadza całościową analizę (odwołując się do gatunku, struktury i treści), podaje różne stanowiska badawcze, umieszcza twórczość pisarza i dzieło w procesie historycznoliterackim. Wypowiedź ma charakter spontaniczny, całościowy, przemyślany, student szeroko posługuje się terminologią specjalistyczną.
Pkt. 2
Student: charakteryzuje epokę, okres lub kierunek literacki, wykazuje znajomość treści lektur, przeprowadza analizę (odwołując się do gatunku, struktury i treści), umieszcza twórczość pisarza i dzieło w kontekście epoki. Wypowiedź ma charakter płynny, student posługuje się terminologią specjalistyczną.
Pkt. 1
Student: w ograniczonym zakresie, po zadaniu pytań dodatkowych charakteryzuje epokę, okres lub kierunek literacki, wykazuje podstawową znajomość treści lektur, przeprowadza analizę na poziomie podstawowym (odwołując się jedynie do treści), wymienia jedynie niektórych przedstawicieli kierunku i ich dzieła, wskazuje jedynie konstytutywne cechy epoki, okresu lub kierunku literackiego. Wypowiedź jest urywana; składa się z informacji niepowiązanych ze sobą, student wymaga naprowadzania przez egzaminatora.
Wymogi na ocenę 5!
- 3 pkt. za każde pytanie,
- spełnienie wymogów za 3 pkt. oraz dodatkowo: wiedza i umiejętności spoza programu nauczania, znajomość lektur spoza listy lektur, odwołania do literatury światowej.
Zaliczenie z przedmiotu: Historia literatury białoruskiej XX wieku (lata 20.-40.) ćwiczenia
Student ma prawo do 4 nieusprawiedliwionych nieobecności, każda następna wymaga złożenia usprawiedliwienia. O uznaniu nieobecności decyduje wykładowca. Przekroczenie nieobecności usprawiedliwionych i nieusprawiedliwionych na 50% zajęć może być podstawą do niezaliczenia przedmiotu. 
Warunki zaliczenia przedmiotu w terminie poprawkowym są takie same jak w terminie I."
Nauka języka białoruskiego B2,2.0,w sali,"Przedmiot kończy się pisemnym zaliczeniem na ocenę w postaci otwatych zadań praktycznych z języka białoruskiego na poziomie docelowym.
Skala ocen zaliczenia:
99 – 100% - 5! (celujący)
93 - 98% - 5 (bardzo dobry)
87 - 92% - 4,5 (dobry plus)
77 - 86% - 4 (dobry)
71 - 76% - 3,5 (dostateczny plus)
60 - 70% - 3 (dostateczny)
Poniżej 60%  – 2,0 (ocena niedostateczna)"
Nauka języka białoruskiego B2,2.0,w sali,"Przedmiot kończy się pisemnym zaliczeniem na ocenę w postaci otwatych zadań praktycznych z języka białoruskiego na poziomie docelowym.
Skala ocen zaliczenia:
99 – 100% - 5! (celujący)
93 - 98% - 5 (bardzo dobry)
87 - 92% - 4,5 (dobry plus)
77 - 86% - 4 (dobry)
71 - 76% - 3,5 (dostateczny plus)
60 - 70% - 3 (dostateczny)
Poniżej 60%  – 2,0 (ocena niedostateczna)"
Nauka języka białoruskiego C2,2.0,w sali,"Warunki dopuszczenia do zaliczenia końcowego:
- dopuszczalne są 2 nieobecności na zajęciach
- systematyczne przygotowanie na zajęcia zadanego materiału
- terminowe wykonywanie prac domowych i testów kontrolnych
- aktywny udział w pracach nad prezentacjami, wystąpieniami indywidualnymi i grupowymi
Zaliczenie końcowe ma formę pisemną i składa się z testu gramatyczno-leksykalnego, zadania tłumaczeniowego i wypracowania na jeden z trzech tematów do wyboru.
Procentowa skala ocen za zaliczeniową pracę pisemną:
Poniżej 51% – 2,0 (ocena niedostateczna)
51% – 60% – 3,0 (ocena dostateczna)
61% – 70 % – 3,5 (ocena dostateczna plus)
71% – 80% – 4,0 (ocena dobra)
81% – 90% – 4,5 (ocena dobra plus)
91% – 98% – 5,0 (ocena bardzo dobra)
99% – 100% – 5! (ocena celująca)
Wypracowanie - kryteria:
a/ zgodność z tematem,
b/ zgodność z wymaganą formą,
c/ kompozycja,
d/ objętość pracy,
e/ bogactwo językowe,
f/ poprawność językowa
Ocenę końcową stanowi: 50% oceny z zajęć + 50% oceny z testu zaliczeniowego."
Polsko-białoruska gramatyka konfrontatywna,3.0,w sali,"Warunki zaliczenia przedmiotu i dopuszczenia do końcowego zaliczenia:
- obecność i aktywne uczestnictwo w zajęciach;
- systematyczne przygotowanie na zajęcia zadanego materiału;
- terminowe wykonywanie prac domowych i testów kontrolnych.
Składniki oceny:
- ocena ciągła, kształtująca (bieżące przygotowanie do zajęć, aktywność, prace domowe) – 50%
- praca kontrolna – 50%
Kryteria oceny pracy kontrolnej przedstawione są w formie progów procentowych
(punkty uzyskane z pracy)
50% – 58% - 3 (ocena dostateczna)
59% - 67% - 3+ (ocena dostateczna plus)
68% - 76% - 4 (ocena dobra)
77% - 85% - 4+ (ocena dobra plus)
86% - 95 % - 5 (ocena bardzo dobra)
96% -100% - 5 !(ocena bardzo dobra z wykrzyknikiem)
Student ma prawo do 2 nieusprawiedliwionych nieobecności, każda następna wymaga złożenia usprawiedliwienia. O uznaniu nieobecności decyduje wykładowca.
Forma zaliczenia zajęć, na których student był nieobecny jest wyznaczana przez wykładowcę.
Przekroczenie nieobecności usprawiedliwionych i nieusprawiedliwionych na 50% zajęć może być podstawą do niezaliczenia przedmiotu."
