Nazwa,ECTS,Tryb,Kryteria,kategorie
Zarządzanie sobą,3.0,w sali,"Ocena z przedmiotu będzie wystawiona na podstawie samodzielnie przygotowanego eseju. Treścią pracy będzie przedstawienie przez studenta planu własnego rozwoju osobistego, stawianych sobie celów życiowych i zawodowych, opisanie wybranych przez siebie sposobów i technik psychologicznych pozwalających spełnić swoje zamierzenia. 
Oceniana będzie umiejętność formułowania planów i adekwatność wybranych technik.",Ekonomia i zarządzanie
Analiza biznesowa od podstaw – projektowanie systemów i aplikacji,3.0,,Projekt zaliczeniowy.,Technologie i dane
Akademia filmu dokumentalnego Docs Against Gravity cz. 1,4.0,,"Warunkiem zaliczenia przedmiotu są obecności na zajęciach i przygotowanie pracy zaliczeniowej.
1. OBECNOŚĆ:
W semestrze zimowym 2024/2025 zaplanowanych jest dwanaście projekcji. Maksymalna ilość nieobecności umożliwiająca zaliczenie przedmiotu to: CZTERY, każda kolejna będzie oznaczała brak możliwości zaliczenia przedmiotu. Ze względu na charakter zajęć nie ma znaczenia czy nieobecności są usprawiedliwione czy nie.
Każdej i każdemu przysługują DWIE NIEOBECNOŚCI na projekcjach bez żadnych konsekwencji. Za kolejne DWIE, które uznajemy za nadprogramowe, należy napisać recenzje wybranych filmów z AFD1, na których projekcji się było (innych niż wybrana do pracy zaliczeniowej).
W tej pracy liczy się OPINIA, krytyczne spojrzenie, a nie powszechnie dostępne dane na temat filmu, jego twórców, przebiegu ukazanej sytuacji. Recenzja może być krótszą formą odpowiedzi na pytanie zadane w czasie zajęć.
Objętość: maksymalnie 3000 znaków.
Termin nadsyłania: ostatnie zajęcia w semestrze.
UWAGA: To Uczestniczka i Uczestnik zajęć powinni wiedzieć, na których zajęciach ich nie było i jaki film opuścili. Również kontrolowanie ilości nieobecności leży po Waszej stronie.
2. PRACA ZALICZENIOWA
Warunkiem zaliczenia zajęć, poza obecnością, będzie przygotowanie pracy zaliczeniowej w postaci materiału wideo z dołączoną pisemną eksplikacją zastosowanej formy i metody pracy.
Jak się do tego zabrać? Każdemu prezentowanemu w ramach zajęć filmowi będzie towarzyszyło pytanie dotyczące czy to treści poruszanych w filmie, czy jego formy estetycznej, ale również szerszego kontekstu społecznego, kulturowego czy politycznego, w który film się wpisuje. Uczestniczka i Uczestnik zajęć wybierają zatem jeden film prezentowany w ramach Akademii i przygotowują odpowiedź na dotyczące go pytanie postawione w czasie dyskusji po owym filmie - w postaci materiału video. Pytania po zajęciach pojawią się na stronie Akademii na podstronie przedmiotu (https://www.akademiadokumentalna.pl) - poniżej filmu, którego dotyczą.
Wymagania dotyczące pracy:
Praca wideo: Długość to maksymalnie 1,5 minuty, popularny format video (mpeg, vlc, mp4, avi) wysłane poprzez Google Drive, Dropbox, Wetransfer. Materiał ma mieć charakter krytyczno-filmowy i eseistyczny. Co to oznacza? Autorka i Autor prezentują swoje poglądy i przemyślenia, dowodzą krytycznego myślenia o filmie i jego kontekście. Forma - właściwie dowolna - od wypowiedzi bezpośrednio do kamery (uwaga: przemyślanej i wypowiedzianej, a nie odczytanej! Czytanie oznacza dyskwalifikację i zwrot pracy!), przez różnorodne formy montażowe, vlogowe, wideo-eseistyczne (zmontowane materiały wizualne i komentarz autorki autora), reelsy, tiktoki po... No właśnie. Granicą jest Wasza inwencja twórcza. Preferowana wersja w pionie, jak na Instagrama lub TikToka, ale klasyczny format wideo również wpisuje się w formę zaliczenia. Praca powinna też zawierać planszę z listą wykorzystanych materiałów, których nie jesteście Autorami.
Eksplikacja autorska: do pracy (np. w treści maila) należy dołączyć pisemne uzasadnienie wybranej formy i metody pracy w przypadku wybranego zagadnienia oraz opis procesu twórczego. Długość: 2000 znaków ze spacjami.Eksplikacja to nie powtórzenie treści samej pracy, lecz krótka opowieść o tym,dlaczego wybrano taką formę,  jak praca powstawała, jakie były wyzwania i co przyniosło satysfakcję.
Nazwa pliku wideo według schematu: imię_nazwisko_numer pytania
W treści maila wpisujemy również Imię i nazwisko i numer indeksu.
Jeśli szukacie inspiracji, serdecznie polecamy kanał AFD na YouTube, gdzie można obejrzeć najciekawsze prace uczestników poprzednich edycji zajęć.
Oto link do playlisty: 
https://www.youtube.com/watch?v=PScBzs4vgzs&list=UULFVzMadDcBMJA6k-PPLIjRTQ
Charakter samych pytań towarzyszących filmom wskaże, że zarówno w pierwszym jak i drugim przypadku możliwości i form wyrazu będzie wiele. Liczy się przede wszystkim inwencja twórcza, własne przemyślenia i pomysły i kreatywność Autorki i Autora.
KRYTERIA OCENIANIA:
Przy ocenie pod uwagę będą brane:
- zgodność z tematem - lub uzasadnione od niego odbieganie, jeśli Autorka lub Autor ma taką potrzebę
- odpowiedź na pytanie dowodząca przemyślenia zagadnienia
- odniesienia nie tylko do filmu, ale i innych tekstów kultury i kontekstów
- oryginalność myśli i wyjście poza obiegowe, stereotypowe przekonania
- własna, uzasadniona opinia i stanowisko
- pomysł na realizację - jest ważniejszy właściwie niż samo wykonanie. Zdajemy sobie sprawę, że dla wielu z Was to pierwsza próba wypowiedzi w takiej formie. Bardzo szanuję każdą próbę wyjścia poza strefę komfortu i zmierzenia się z nową formą wyrazu
- inwencja twórcza - to szerokie zagadnienie. Najważniejsze jest to, żebyście podjęli próbę, eksperymentowali i stworzyli autorskie dzieło
- w przypadku wypowiedzi do kamery: najważniejsza jest jasność, spójność i przejrzystość wywodu podanego bezpośrednio do kamery (czyli do widzki, która Was ogląda), a nie odczytywanego z kartki/monitora. Czytanie rzuca się w oczy i oznacza zwrot pracy oraz konieczność zmierzenia się z tym lub innym tematem raz jeszcze
- długość materiału - 3 minuty to absolutne maksimum. Ekonomia wypowiedzi jest istotna
- na końcu plansza z wykorzystanymi materiałami (wideo, muzyka), jeśli z takich korzystaliście
3. TERMIN NADSYŁANIA PRACY VIDEO: dwa tygodnie po projekcji
Gotowe prace należy wysłać pod adres akademiafilmudokumentalnego@gmail.com
UWAGA! Termin jest niezmienny, rygorystycznie przestrzegany i nie ma od niego odstępstw, a jego przekroczenie zamyka drogę do opracowania pytania związanego z tym właśnie filmem - pozostaje on jednak przez resztę semestru dostępny do recenzji zaliczającej ewentualną nadprogramową nieobecność. Jeśli zajęcia nie odbywają się - termin to wciąż dwa tygodnie dla video. Dlaczego tak musi być? Zależy nam, żeby jak najszybciej sprawdzać prace, szczególnie, gdy semestr zbliża się do końca. Dlatego też serdecznie namawiamy i zachęcamy, żeby zająć się pracami zaliczeniowymi wcześniej na przestrzeni semestru, a nie zostawiać spełnienie warunków zaliczenia na ostatni moment.
Za pracę można zdobyć 5 punktów. Oceniane będą zarówno forma, koncept jak i treść. Po wypełnieniu warunków dotyczących obecności na tej podstawie wystawiona zostanie ocena końcowa.
UWAGA! OTO JEDYNY ADRES DO WYSYŁKI WSZYSTKICH PRAC: akademiafilmudokumentalnego@gmail.com
Na pytania bieżące odpowiadamy na stronie Akademii Filmu Dokumentalnego na facebooku, zachęcamy więc do lajkowania i śledzenia, a także sprawdzania o co już pytanie padło, bo może odpowiedź na to, które Uczestniczkę i Uczestnika nurtuje już tam jest?
OTO LINK DO STRONY NA FB: https://www.facebook.com/AkademiaFilmuDokumentalnegoUW/",Inne
Data Storytelling,3.0,,,Inne
Fotografia na tle innych sztuk wizualnych. Warsztat badacza i krytyka,3.0,,,Inne
Filmowe obrazy popkultury,4.0,,"Warunkiem zaliczenia przedmiotu są obecności na zajęciach i przygotowanie pracy zaliczeniowej.
Przy ocenie projektu pod uwagę będą brane:
- zgodność z tematem
- wypowiedź dowodząca krytycznego przemyślenia zagadnienia
- odniesienia nie tylko do filmu, ale i innych tekstów kultury i kontekstów
- oryginalność myśli i wyjście poza obiegowe, stereotypowe przekonania i utarte sposoby działania
- własna perspektywa oraz uzasadniona opinia i stanowisko
- pomysł na realizację – w tym grupowy charakter projektu z podziałem zadań
- inwencja twórcza
Sposób i zasady zaliczenia
Warunkiem zaliczenia przedmiotu są obecności na zajęciach i przygotowanie pracy zaliczeniowej.
1. OBECNOŚĆ:
W semestrze zimowym 2024/2025 zaplanowanych jest dwanaście projekcji. Maksymalna ilość nieobecności umożliwiająca zaliczenie przedmiotu to: CZTERY, każda kolejna będzie oznaczała brak możliwości zaliczenia przedmiotu. Ze względu na charakter zajęć nie ma znaczenia czy nieobecności są usprawiedliwione czy nie.
Każdej i każdemu przysługują DWIE NIEOBECNOŚCI na projekcjach bez żadnych konsekwencji. Za kolejne DWIE, które uznajemy za nadprogramowe, należy napisać recenzje wybranych filmów z FOP, na których projekcji się było (innych niż wybrana do pracy zaliczeniowej). W tej pracy liczy się OPINIA, krytyczne spojrzenie, a nie powszechnie dostępne dane na temat filmu, jego twórców, przebiegu ukazanej sytuacji. Recenzja może być krótszą formą odpowiedzi na pytanie zadane w czasie zajęć.
Objętość: maksymalnie 3000 znaków.
Termin nadsyłania: ostatnie zajęcia w semestrze. Jeśli recenzje nie zostaną dostarczone w terminie za każdą brakującą ocena zostanie obniżona o 0,5. Bez recenzji ocena nie zostanie wystawiona.
UWAGA: To Osoby Uczestniczące w zajęciach powinny wiedzieć, na których zajęciach ich nie było i jaki film opuścili. Również kontrolowanie ilości nieobecności leży po Waszej stronie.
2. PRACA ZALICZENIOWA
Warunkiem zaliczenia zajęć, poza obecnością, będzie przygotowanie pracy zaliczeniowej w postaci materiału wideo z dołączoną pisemną eksplikacją zastosowanej formy i metody pracy.
Jak się do tego zabrać? Każdemu prezentowanemu w ramach zajęć filmowi będzie towarzyszyło pytanie dotyczące czy to treści poruszanych w filmie, czy jego formy estetycznej, ale również szerszego kontekstu społecznego, kulturowego czy politycznego, w który film się wpisuje. Uczestniczka i Uczestnik zajęć wybierają zatem jeden film prezentowany w ramach Akademii i przygotowują odpowiedź na dotyczące go pytanie postawione w czasie dyskusji po owym filmie - w postaci materiału video. Pytania po zajęciach pojawią się na stronie Akademii na podstronie przedmiotu (https://www.akademiadokumentalna.pl) - poniżej filmu, którego dotyczą.
Wymagania dotyczące pracy:
Praca wideo: Długość to maksymalnie 1,5 minuty, popularny format video (mpeg, vlc, mp4, avi) wysłane poprzez Google Drive, Dropbox, Wetransfer. Materiał ma mieć charakter krytyczno-filmowy i eseistyczny. Co to oznacza? Autorka i Autor prezentują swoje poglądy i przemyślenia, dowodzą krytycznego myślenia o filmie i jego kontekście. Forma - właściwie dowolna - od wypowiedzi bezpośrednio do kamery (uwaga: przemyślanej i wypowiedzianej, a nie odczytanej! Czytanie oznacza dyskwalifikację i zwrot pracy!), przez różnorodne formy montażowe, vlogowe, wideo-eseistyczne (zmontowane materiały wizualne i komentarz autorki autora), reelsy, tiktoki po... No właśnie. Granicą jest Wasza inwencja twórcza. Preferowana wersja w pionie, jak na Instagrama lub TikToka, ale klasyczny format wideo również wpisuje się w formę zaliczenia. Praca powinna też zawierać planszę z listą wykorzystanych materiałów, których nie jesteście Autorami.
Eksplikacja autorska: do pracy (np. w treści maila) należy dołączyć pisemne uzasadnienie wybranej formy i metody pracy w przypadku wybranego zagadnienia oraz opis procesu twórczego. Długość: 2000 znaków ze spacjami.Eksplikacja to nie powtórzenie treści samej pracy, lecz krótka opowieść o tym,dlaczego wybrano taką formę,  jak praca powstawała, jakie były wyzwania i co przyniosło satysfakcję.
Nazwa pliku wideo według schematu: imię_nazwisko_numer pytania
W treści maila wpisujemy również Imię i nazwisko i numer indeksu.
Jeśli szukacie inspiracji, serdecznie polecamy kanał AFD na YouTube, gdzie można obejrzeć najciekawsze prace uczestników poprzednich edycji zajęć.
Oto link do playlisty: https://www.youtube.com/watch?v=PScBzs4vgzs&list=UULFVzMadDcBMJA6k-PPLIjRTQ
Charakter samych pytań towarzyszących filmom wskaże, że zarówno w pierwszym jak i drugim przypadku możliwości i form wyrazu będzie wiele. Liczy się przede wszystkim inwencja twórcza, własne przemyślenia i pomysły i kreatywność Autorki i Autora.
KRYTERIA OCENIANIA:
Przy ocenie pod uwagę będą brane:
- zgodność z tematem - lub uzasadnione od niego odbieganie, jeśli Autorka lub Autor ma taką potrzebę
- odpowiedź na pytanie dowodząca przemyślenia zagadnienia
- odniesienia nie tylko do filmu, ale i innych tekstów kultury i kontekstów
- oryginalność myśli i wyjście poza obiegowe, stereotypowe przekonania
- własna, uzasadniona opinia i stanowisko
- pomysł na realizację - jest ważniejszy właściwie niż samo wykonanie. Zdajemy sobie sprawę, że dla wielu z Was to pierwsza próba wypowiedzi w takiej formie. Bardzo szanuję każdą próbę wyjścia poza strefę komfortu i zmierzenia się z nową formą wyrazu
- inwencja twórcza - to szerokie zagadnienie. Najważniejsze jest to, żebyście podjęli próbę, eksperymentowali i stworzyli autorskie dzieło
- w przypadku wypowiedzi do kamery: najważniejsza jest jasność, spójność i przejrzystość wywodu podanego bezpośrednio do kamery (czyli do widzki, która Was ogląda), a nie odczytywanego z kartki/monitora. Czytanie rzuca się w oczy i oznacza zwrot pracy oraz konieczność zmierzenia się z tym lub innym tematem raz jeszcze
- długość materiału - 1,5 minuty to absolutne maksimum. Ekonomia wypowiedzi jest istotna
- na końcu plansza z wykorzystanymi materiałami (wideo, muzyka), jeśli z takich korzystaliście
Uwaga: Prace w postaci prostej wypowiedzi do kamery, bez montażu i dodatkowych elementów wymagają mniejszych nakładów pracy i energii niż inne formy (montażowe, animowane, ilustrowane itp) co przekłada się również na ocenę. 
3. TERMIN NADSYŁANIA PRACY VIDEO: dwa tygodnie po projekcji
Gotowe prace należy wysłać pod adres akademiafilmudokumentalnego@gmail.com
UWAGA! Termin jest niezmienny, rygorystycznie przestrzegany i nie ma od niego odstępstw, a jego przekroczenie zamyka drogę do opracowania pytania związanego z tym właśnie filmem - pozostaje on jednak przez resztę semestru dostępny do recenzji zaliczającej ewentualną nadprogramową nieobecność. Jeśli zajęcia nie odbywają się - termin to wciąż dwa tygodnie dla video. Dlaczego tak musi być? Zależy nam, żeby jak najszybciej sprawdzać prace, szczególnie, gdy semestr zbliża się do końca. Dlatego też serdecznie namawiamy i zachęcamy, żeby zająć się pracami zaliczeniowymi wcześniej na przestrzeni semestru, a nie zostawiać spełnienie warunków zaliczenia na ostatni moment.
Za pracę można zdobyć 5 punktów. Oceniane będą zarówno forma, koncept jak i treść. Po wypełnieniu warunków dotyczących obecności na tej podstawie wystawiona zostanie ocena końcowa. Ze względu na charakter zajęć nie przewidujemy możliwości poprawiania ocen pozytywnych.
UWAGA! OTO JEDYNY ADRES DO WYSYŁKI WSZYSTKICH PRAC: akademiafilmudokumentalnego@gmail.com
Na pytania bieżące odpowiadamy na stronie Akademii Filmu Dokumentalnego na Facebooku, zachęcamy więc do lajkowania i śledzenia, a także sprawdzania o co już pytanie padło, bo może odpowiedź na to, które Uczestniczkę i Uczestnika nurtuje już tam jest?
OTO LINK DO STRONY NA FB: https://www.facebook.com/AkademiaFilmuDokumentalnegoUW/",Inne
Film jako źródło wiedzy o świecie,3.0,,,Inne
Komunikowanie organizacji w kryzysie wizerunkowym,3.0,,,Inne
Różne przypadki z życia książki,5.0,zdalnie,"Student poddawany jest ocenie po każdych zajęciach. 
Kontrola procesu nauczania polega na cząstkowym sprawdzeniu zdobytej wiedzy (np. pytania testowe, krótkie wypowiedzi pisemne, prezentacje itp.). 
Student zaliczenie przedmiotu uzyskuje po zdobyciu 60% punktów.
0%–59% punktów ocena niedostateczna (2)
60%–74% punktów ocena dostateczna (3)
75%–89% punktów ocena dobra (4)
90%–98% punktów ocena bardzo dobra (5)
99%-100% punktów ocena bardzo dobra ! (5!)",Inne
Media a celebryci,3.0,zdalnie,"Wymagania egzaminacyjne:
Praca pisemna lub prezentacja multimedialna na temat wykorzystania mediów przez celebrytów w celu kształtowania własnego wizerunku. Celem pracy jest zapoznanie się z wiedzą, jaką student zdobył podczas zajęć. Przede wszystkim oceniane będzie wieloaspektowe przedstawienie omawianego zjawiska.",Media i komunikacja
Media w świecie,3.0,,Egzamin pisemny bądź ustny. Test egzaminacyjny obejmuje wiedzę nabytą podczas uczestnictwa na wykładach oraz częściowo na ćwiczeniach. Warunkiem zaliczenia jest osiągnięcie minimum 60% wymaganej punktacji.,Media i komunikacja
Przyczyny i cele tworzenia norm prawnych i społecznych,3.0,,"Prelekcja, metody problemowe (metoda studiowania przypadków i dyskusji w grupie);
Indywidualna praca projektowa pisemna, polegająca na analizie kazusu opartego na autentycznych dokumentach legislacyjnych.",Inne
Poprawna polszczyzna - zagadnienia gramatyczne,3.0,,"Na ocenę końcową w składa się wynik z zadań rozwiązywanych w trakcie semestru (na platformie COME). 
Tematy kursu otwierane są ustalonego dnia i dostępne przez tydzień. Uczestnicy wykonują na bieżąco, w wyznaczonym czasie testy i zadania. (Podstawową jednostką czasu na wykonanie zadań jest tydzień).",Inne
Pseudonauka w społeczeństwie informacyjnym,3.0,,"Obecność na zajęciach, aktywność, praca pisemna (esej)",Inne
Strategia i kreacja reklamy,4.0,w sali,"1.Zajęcia są obowiązkowe – dozwolone 2 nieobecności max. 
2. Praca pisemna (analiza reklam) + pisemny egzamin końcowy (test)
3. Osoby, które przygotują najlepsze prace są zwolnione  z egzaminu.",Inne
Wolność mediów?,3.0,,Wymogiem zaliczenia zajęć jest udowodnienie przez ich uczestników przyswojenia zakładanych efektów uczenia.,Inne
Wolność słowa a Internet - język w mediach niezależnych,3.0,zdalnie,,Języki i kultury świata
Zimna wojna,3.0,zdalnie,Praca pisemna na jeden z podanych przez prowadzącą tematów.,Inne
Zarządzanie sytuacjami kryzysowymi w perspektywie public relations,3.0,zdalnie,"Końcowe zaliczenie pisemne / online.
Skala ocen:
90-100% 5,0
80-89%   4,5
70-79%   4,0
60-69%   3,5
50-59%   3,0
0-49%     2,0",Ekonomia i zarządzanie
Archeologia w czasach popkultury,2.5,w sali,"Ocenie podlegają udział w dyskusjach (30%) oraz wynik egzaminu końcowego (70%). Kryteria oceniania: umiejętność ogólnego scharakteryzowania i opisania wybranych 3 z 10 omawianych tematów.
Egzamin ustny",Historia i archeologia
Mass media w starożytnej Grecji,2.5,zdalnie,"W ramach kursu Mass Media w starożytnej Grecji dostępne są dwa warianty zaliczenia – student samodzielnie wybiera dogodną formę:
1. Egzamin całościowy (jednorazowy)
– bez obowiązku uczestnictwa w wykładach;
– zaliczenie odbywa się na podstawie wskazanej literatury;
– termin egzaminu zostanie podany podczas pierwszego wykładu organizacyjnego.
2. Egzaminy cząstkowe (po każdym cyklu tematycznym)
– dotyczą mniejszej porcji materiału (np. tylko cyklu Mykonos, Olimp lub Atlantyda);
– wymagana aktywna obecność na wykładach „na żywo” – dopuszczalne maksymalnie 2 nieobecności w semestrze.
Szczegółowe informacje, zasady zaliczenia i harmonogram zostaną przedstawione na pierwszym wykładzie – udział w nim jest szczególnie zalecany.",Media i komunikacja
Medycyna i lekarze w świecie antycznym w świetle inskrypcji i papirusów,2.5,w sali,,Inne
Archeologia podwodna,2.5,w sali,,Historia i archeologia
Co powiedział Zaratustra. Historia religii zoroastryjskiej,2.5,w sali,Egzamin pisemny. Odpowiedź na 3 z 5 pytań oznacza zdanie egzaminu na ocenę dostateczną,Historia i archeologia
Wierzenia i kultury w epoce brązu i wczesnej epoce żelaza w Europie Środkowej,2.5,w sali,Egzamin pisemny,Inne
Życie codzienne w cieniu Wezuwiusza,2.5,w sali,"Oceniany będzie poziom wiedzy studenta na tematy zrealizowane podczas wykładów. 
Sprawdzianem wiedzy będzie egzamin pisemny opisowy.",Inne
Maya Hieroglyphic Writing - beginner level,8.0,zdalnie,Do każdego rozdziału kursu dołączone są obowiązkowe ćwiczenia. Zaliczenie kursu uzyskuje się na podstawie regularnego uczestnictwa i końcowego egzaminu pisemnego.,Inne
Izrael i Żydzi w starożytności,2.0,,,Inne
Wprowadzenie do judaizmu,2.0,,Do zaliczenia przedmiotu konieczna jest obecność na zajęciach (dopuszczalne są dwie nieobecności). Ocena końcowa wystawiana jest na podstawie testu zaliczającego.,Inne
Zagłada Żydów – wprowadzenie do problematyki,2.0,,Egzamin testowy,Inne
Żydzi pod zaborami,2.0,w sali,"Indywidualne w zależności od wykładowcy.
Zob. sylabus osoby prowadzącej grupę zajęciową w danym cyklu dydaktycznym.",Inne
Ku nowoczesności. Żydzi w okresie pierwszej wojny światowej i dwudziestoleciu międzywojennym (1914-1939),2.0,w sali,Warunkiem zaliczenia przedmiotu jest obecność na zajęciach i uzyskanie pozytywnej oceny (powyżej 60%) z testu końcowego.,Inne
Historia starożytnej Grecji,2.0,,Zaliczenie pisemne w formule krótkiego testu wyboru.,Historia i archeologia
Kurs na Równość - przeciwdziałanie dyskryminacji na UW,2.0,zdalnie,"Zaliczenie całości interaktywnego kursu równa się ocenie bardzo dobrej.
Niższe oceny stanowią procentowy wymiar ukończenia kursu. Najniższa pozytywna ocena to 60% kursu.",Równość i prawa człowieka
Chrześcijaństwo antyczne,2.0,,"Zaliczenie na stopień, na podstawie dwóch kryteriów:
1. Frekwencja (dopuszczalne 3 nieobecności) – nie wpływa na ocenę, ale jest konieczna do uzyskania zaliczenia.
2. Sprawdzian w formie testu wyboru, który odbędzie się na ostatnim wykładzie – zaliczenie niezbędne do uzyskania stopnia pozytywnego.",Inne
Dzieje tolerancji w Europie,2.0,,,Inne
Historia Imperium Rosyjskiego w XVIII w.,2.0,,Obecność na wykładzie stanowi warunek niezbędny. Można opuścić max. 2 wykłady. Ostatnie spotkanie kończy się krótkim sprawdzianem (ok. 30 min.) - pisemną odpowiedzią na pytanie otwarte z zakresu tematyki wykładu. W sytuacjach szczególnych (większa liczba nieobecności) możliwe jest ustne kolokwium na dyżurze na temat lektury uzgodnionej z prowadzącym a powiązanej z tematami opuszczonych zajęć.,Historia i archeologia
Historia Wielkiego Księstwa Litewskiego,2.0,,Podstawą do zaliczenia przedmiotu będzie test na ostatnich zajęciach w semestrze. Warunkiem dopuszczenia do testu będzie frekwencja na zajęciach na poziomie 80 procent (możliwe dwie nieobecności),Historia i archeologia
Historia kościoła XX w.,2.0,,"Ocena jest wystawiana na podstawie przekrojowego pisemnego testu obejmującego całość zagadnień poruszanych na wykładzie. Test przeprowadzany jest na ostatnich zajęciach w semestrze. 
Warunkami zaliczenia wykładu są:
1. Przystąpienie i zaliczenie testu końcowego;
2. Obecność na większości wykładów w semestrze.",Historia i archeologia
Muzyka dawna – praktyka i teoria: warsztaty chóralne,2.0,,Ocena ciągła aktywności: umiejętność wykonania partii wokalnych wybranych utworów - oceniana na podstawie pracy na próbach i/lub indywidualnych zajęć.,Muzyka i sztuka
"""Historia zaczyna się w Sumerze"" - Mezopotamia kolebką cywilizacji",4.0,w sali,Kryteria - zajęcia są wykładem – rozliczenie ich następuje poprzez sprawdzenie obecności oraz podsumowujące sprawdzenie nabytej wiedzy w formie krótkiego testu.,Historia i archeologia
Historia telewizji,2.0,,,Historia i archeologia
Historia wojskowości: od starożytności do epoki nowożytnej,2.0,,Test zaliczeniowy na ostatnich zajęciach dla słuchaczy wykładu.,Historia i archeologia
Historia ziem czeskich i Czechosłowacji 1848-1938,2.0,,"Dopuszcza się co najwyżej dwie nieobecności w trakcie semestru.
Wykład zaliczany jest na podstawie testu końcowego, składającego się z 10-20 pytań zamkniętych. Do uzyskania zaliczenia niezbędne jest udzielenie min. 60% odpowiedzi poprawnych.",Historia i archeologia
Miasta i ich mieszkańcy w późnośredniowiecznym Królestwie Polskim,2.0,w sali,Warunkiem zaliczenia wykładu jest regularne w nim uczestniczenie (nie więcej niż 4 nieobecności); kryterium oceny  jest sprawdzian pisemny (w formie testu) wiedzy zdobytej podczas wykładu.,Inne
"W powstańczym kręgu: środowiska, idee, osobowości 1863 roku",2.0,,"1.	Frekwencja.
2.	Sprawdzian.",Inne
Dwie siostry. Relacje Polski z Francją w XVI-XVIII wieku,2.0,,Warunkiem zaliczenia wykładu będzie obecność na nim oraz zaliczenie egzaminu testowego na końcu semestru.,Inne
Sparta w świecie poleis. Rzeczywistość oraz starożytna i nowożytna legenda,2.0,,"Warunkiem zaliczenia jest obecność na zajęciach (dopuszczalne 3 nieobecności bez potrzeby zaliczania). Ocena końcowa zależy od wyników sprawdzianu pisemnego ze znajomości problematyki poruszanej w trakcie wykładu. W trakcie semestru studenci będą otrzymywać pytania spośród których wybrane zostaną te, które pojawią się na sprawdzianie końcowym.",Inne
The Holocaust,2.0,,Final test,Inne
Zmiany demograficzne w nowożytnej Europie,4.0,,,Inne
Związek Sowiecki: powstanie i rozkład imperium (1917-1991),2.0,,"Podstawą oceny jest udział w wykładzie (maximum 2 nieobecności) i zaliczenie pisemnego kolokwium końcowego, które dotyczyć będzie głównych kwestii poruszonych w trakcie wykładu.",Inne
Fotografia jako źródło historyczne,4.0,,,Inne
Niemieckie pismo w epoce nowożytnej,4.0,,,Inne
"Władcy, dyplomaci, szpiedzy – z dziejów stosunków międzynarodowych w czasach Hammurabiego",4.0,w sali,"- warunkiem niezbędnym zaliczenia zajęć jest frekwencja (maksimum 3 nieobecności)
- podstawą wystawienia oceny jest aktywność na zajęciach, samodzielne zgłaszanie się do wypowiedzi
-  w razie zagrożenia niezaliczeniem konwersatorium student będzie miał prawo do ustnego lub pisemnego trybu zaliczenia całości materiału w trakcie sesji",Inne
Kurs na Równość – przeciwdziałanie dyskryminacji na UW,2.0,zdalnie,"Zaliczenie całości interaktywnego kursu równa się ocenie bardzo dobrej.
Niższe oceny stanowią procentowy wymiar ukończenia kursu. Najniższa pozytywna ocena to 60% kursu.",Równość i prawa człowieka
Krótki multimedialny kurs literatury polskiej XIX wieku dla niehumanistów i obcokrajowców,3.0,zdalnie,"Ocena końcowa stanowić będzie średnią z sumy punktów zdobytych za poszczególne aktywności w poszczególnych modułach (max. 100 punktów) oraz z punktów uzyskanych za zaliczenie końcowe w sali, w stosunku 7:3 (70% za zajęcia online i 30% za zaliczenie w sali).
Przeliczanie punktacji na ocenę końcową:
• 0 pkt. – 50 pkt. – nzal
• 51 pkt. – 59 – dostateczny
• 60 pkt. – 69 pkt. – dostateczny +
• 70 pkt. – 79 pkt. – dobry
• 80 pkt. – 89 pkt. – dobry +
• 90 pkt. – 99 pkt. – bardzo dobry
• 100 pkt. – bardzo dobry!",Inne
Multimedialny kurs historii literatury i kultury polskiej XX wieku dla studentów obcokrajowców (i nie tylko),3.0,zdalnie,"Zasady oceniania:
Punktacja za poszczególne aktywności:
- quiz do wykładu max.: 6 punktów każdy (nie wlicza się do oceny końcowej)
- quiz do lektury podręcznika max.: 6 punktów każdy (nie wlicza się do oceny końcowej)
- test do prologu i epilogu: max. 15 punktów każdy (wlicza się do oceny końcowej)
- test do modułu: max. 15 punktów każdy (wlicza się do oceny końcowej)
- krótka odpowiedz pisemna na pytanie dotyczące treści omawianych w konkretnym module: max. 7 punktów każda (wlicza się do oceny końcowej)
- zaliczenie końcowe w trakcie sesji egzaminacyjnej (studenci UW: w sali; studenci Sojuszu 4EU+: online): test max. 100 punktów (wlicza się do oceny końcowej).
Ocena końcowa stanowić będzie sumę punktów zdobytych za poszczególne testy do modułów, prologu, epilogu i odpowiedzi pisemne na pytania opisowe (łącznie maksymalnie 250 punktów w ramach części online) oraz z punktów uzyskanych za zaliczenie końcowe w sali (maksymalnie 100 punktów).
Przeliczanie punktacji na ocenę końcową:
- 0 pkt. – 175 pkt. – nzal
- 176 pkt. – 209 – dostateczny
- 210 pkt. – 244 pkt. – dostateczny +
- 245 pkt. – 279 pkt. – dobry
- 280 pkt. – 314 pkt. – dobry +
- 315 pkt. – 345 pkt. – bardzo dobry
- 345 pkt. – 350 pkt. – bardzo dobry!",Inne
Oglądać i czytać. Wybrane zagadnienia związków tekstu i obrazu,3.0,zdalnie,"• ocena bieżącej aktywności studenta – realizowanych przez niego praktycznych ćwiczeń i zadań kursowych
• testy wyboru sprawdzające przyswojenie zagadnień teoretycznych
• końcowe, konwencjonalne (w realu) kolokwium z zakresu problemowego kursu",Inne
